text,label
admissions,neutral
admit,neutral
admits,neutral
admitted,neutral
admitting,neutral
adobe,neutral
adolescence,neutral
adolescent,neutral
adolescents,neutral
adolf,neutral
adolph,neutral
adopt,neutral
adopted,neutral
adopting,neutral
adoption,neutral
adoptive,neutral
adorable,positive
adored,positive
adorned,neutral
adrenaline,neutral
adrian,neutral
adriatic,neutral
ads,neutral
adult,neutral
adultery,neutral
adulthood,neutral
adults,neutral
advance,neutral
advanced,positive
advancement,neutral
advances,neutral
advancing,neutral
advantage,positive
advantages,positive
advent,neutral
adventist,neutral
adventure,neutral
adventurer,neutral
adventures,neutral
adverse,negative
advertised,neutral
advertisement,neutral
advertisements,neutral
advertising,neutral
advice,neutral
advise,neutral
advised,neutral
adviser,neutral
advisers,neutral
advises,neutral
advising,neutral
advisor,neutral
advisors,neutral
advisory,neutral
advocacy,neutral
advocating,neutral
ae,neutral
aegean,neutral
aerial,neutral
aero,neutral
aerodrome,neutral
aerodynamic,neutral
aeronautical,neutral
aeronautics,neutral
aerospace,neutral
aesthetic,neutral
aesthetics,neutral
af,neutral
afar,neutral
afb,neutral
afc,neutral
affair,neutral
affairs,neutral
affect,neutral
affected,neutral
affecting,neutral
affection,positive
affectionately,neutral
affects,neutral
affiliate,neutral
affiliated,neutral
affiliates,neutral
affiliation,neutral
affinity,positive
affirmed,neutral
affluent,positive
afforded,neutral
afghan,neutral
afghanistan,neutral
afi,neutral
afl,neutral
aforementioned,neutral
afraid,negative
africa,neutral
african,neutral
africans,neutral
afrikaans,neutral
afro,neutral
aft,neutral
after,neutral
afterlife,neutral
aftermath,neutral
afternoon,neutral
afternoons,neutral
afterward,neutral
afterwards,neutral
ag,neutral
again,neutral
against,neutral
agatha,neutral
age,neutral
aged,neutral
agencies,neutral
agency,neutral
agenda,neutral
agent,neutral
agents,neutral
ages,neutral
aggravated,neutral
aggregate,neutral
aggregation,neutral
aggregator,neutral
aggression,negative
aggressive,negative
aggressively,neutral
agile,positive
aging,neutral
agitated,neutral
agitation,neutral
agnes,neutral
ago,neutral
agony,negative
agra,neutral
agrarian,neutral
agree,neutral
agreed,neutral
agreeing,neutral
agreement,neutral
agreements,neutral
agrees,neutral
agricultural,neutral
agriculture,neutral
agustin,neutral
ah,neutral
ahead,neutral
ahl,neutral
ahmad,neutral
ahmed,neutral
ahmedabad,neutral
ai,neutral
aid,neutral
aidan,neutral
aide,neutral
aided,neutral
aiden,neutral
aiding,neutral
aids,neutral
aim,neutral
aimed,neutral
aimee,neutral
aiming,neutral
aims,neutral
ain,neutral
air,neutral
airborne,neutral
airbus,neutral
aircraft,neutral
aired,neutral
aires,neutral
airfield,neutral
airfields,neutral
airing,neutral
airlift,neutral
airline,neutral
airlines,neutral
airmen,neutral
airplane,neutral
airplanes,neutral
airplay,neutral
airport,neutral
airports,neutral
airs,neutral
airship,neutral
airspace,neutral
airways,neutral
aisle,neutral
aisles,neutral
aix,neutral
aj,neutral
ajax,neutral
ak,neutral
aka,neutral
akbar,neutral
akin,neutral
akira,neutral
akron,neutral
al,neutral
ala,neutral
alabama,neutral
alain,neutral
alam,neutral
alan,neutral
alarm,negative
alarmed,negative
alarms,neutral
alaska,neutral
alba,neutral
albania,neutral
albanian,neutral
albanians,neutral
albans,neutral
albany,neutral
albeit,neutral
albert,neutral
alberta,neutral
alberto,neutral
albion,neutral
albrecht,neutral
album,neutral
albums,neutral
albuquerque,neutral
alcohol,neutral
alcoholic,neutral
alcoholism,neutral
alderman,neutral
aldo,neutral
ale,neutral
alec,neutral
alejandro,neutral
aleksandr,neutral
aleppo,neutral
alert,neutral
alerted,neutral
alessandro,neutral
alex,neutral
alexa,neutral
alexander,neutral
alexandra,neutral
alexandre,neutral
alexandria,neutral
alexei,neutral
alexia,neutral
alexis,neutral
alf,neutral
alfa,neutral
alfonso,neutral
alfred,neutral
alfredo,neutral
algae,neutral
algebra,neutral
algebraic,neutral
algeria,neutral
algerian,neutral
algiers,neutral
algorithm,neutral
algorithms,neutral
ali,neutral
alias,neutral
alice,neutral
alicia,neutral
alien,neutral
aliens,neutral
align,neutral
aligned,neutral
alignment,neutral
alike,neutral
alison,neutral
alistair,neutral
alive,neutral
all,neutral
alla,neutral
allah,neutral
allan,neutral
alleged,neutral
allegedly,neutral
allegheny,neutral
allegiance,neutral
alleging,neutral
allegro,neutral
allen,neutral
alleviate,neutral
alley,neutral
alliance,neutral
alliances,neutral
allie,neutral
allied,neutral
allies,neutral
alligator,neutral
allison,neutral
allmusic,neutral
allocated,neutral
allocation,neutral
allotted,neutral
allow,neutral
allowance,neutral
allowed,neutral
allowing,neutral
allows,neutral
alloy,neutral
alloys,neutral
ally,neutral
alma,neutral
almeida,neutral
almighty,neutral
almond,neutral
almost,neutral
alone,neutral
along,neutral
alongside,neutral
alonso,neutral
aloud,neutral
alpha,neutral
alphabet,neutral
alpine,neutral
alps,neutral
already,neutral
alright,neutral
als,neutral
alsace,neutral
also,neutral
alt,neutral
alta,neutral
altar,neutral
alter,neutral
alteration,neutral
alterations,neutral
altered,neutral
altering,neutral
alternate,neutral
alternately,neutral
alternating,neutral
alternative,neutral
alternatively,neutral
alternatives,neutral
although,neutral
altitude,neutral
altitudes,neutral
alto,neutral
altogether,neutral
alton,neutral
aluminium,neutral
aluminum,neutral
alumni,neutral
alumnus,neutral
alvarez,neutral
alvaro,neutral
alvin,neutral
always,neutral
alyssa,neutral
alzheimer,neutral
am,neutral
ama,neutral
amadeus,neutral
amalgamated,neutral
amalgamation,neutral
amanda,neutral
amar,neutral
amara,neutral
amassed,neutral
amateur,neutral
amateurs,neutral
amazed,positive
amazement,positive
amazing,positive
amazingly,positive
amazon,neutral
ambassador,neutral
ambassadors,neutral
amber,neutral
ambient,neutral
ambition,neutral
ambitions,neutral
ambitious,positive
ambrose,neutral
ambulance,neutral
ambushed,neutral
amc,neutral
amelia,neutral
amelie,neutral
amend,neutral
amended,neutral
amendment,neutral
amendments,neutral
amenities,neutral
america,neutral
american,neutral
americana,neutral
americans,neutral
americas,neutral
ames,neutral
amherst,neutral
ami,neutral
amid,neutral
amidst,neutral
amiga,neutral
amin,neutral
amino,neutral
amir,neutral
amman,neutral
ammonia,neutral
ammunition,neutral
amnesia,neutral
amnesty,neutral
among,neutral
amongst,neutral
amore,neutral
amos,neutral
amount,neutral
amounted,neutral
amounts,neutral
amour,neutral
amp,neutral
amphibious,neutral
amplified,neutral
amplifier,neutral
amplifiers,neutral
amplitude,neutral
amsterdam,neutral
amtrak,neutral
amulet,neutral
amused,neutral
amusing,positive
amy,neutral
an,neutral
ana,neutral
anaheim,neutral
anal,neutral
analog,neutral
analogous,neutral
analogue,neutral
analogy,neutral
analyses,neutral
analysis,neutral
analyst,neutral
analysts,neutral
analytic,neutral
analytical,neutral
analytics,neutral
analyze,neutral
analyzed,neutral
analyzing,neutral
anand,neutral
anastasia,neutral
anatolia,neutral
anatomical,neutral
anatomy,neutral
ancestor,neutral
ancestors,neutral
ancestral,neutral
ancestry,neutral
anchor,neutral
anchorage,neutral
anchored,neutral
anchors,neutral
ancient,neutral
and,neutral
anders,neutral
andersen,neutral
anderson,neutral
andersson,neutral
andes,neutral
andhra,neutral
andover,neutral
andre,neutral
andrea,neutral
andreas,neutral
andrei,neutral
andres,neutral
andrew,neutral
andrews,neutral
andrey,neutral
android,neutral
andy,neutral
ang,neutral
angela,neutral
angeles,neutral
angelica,neutral
angelina,neutral
angelo,neutral
angels,neutral
anger,negative
angered,neutral
angie,neutral
angle,neutral
angled,neutral
angles,neutral
anglia,neutral
anglican,neutral
anglo,neutral
angola,neutral
angrily,negative
angry,negative
anguish,negative
angular,neutral
angus,neutral
anhalt,neutral
animal,neutral
animals,neutral
animated,neutral
animation,neutral
animator,neutral
anime,neutral
anita,neutral
ankara,neutral
ankle,neutral
ankles,neutral
ann,neutral
anna,neutral
annabelle,neutral
annals,neutral
annapolis,neutral
anne,neutral
annette,neutral
annex,neutral
annexation,neutral
annexed,neutral
annie,neutral
anniversary,neutral
announce,neutral
announced,neutral
announcement,neutral
announcements,neutral
announcer,neutral
announces,neutral
announcing,neutral
annoyance,negative
annoyed,negative
annoying,negative
annual,neutral
annually,neutral
annum,neutral
anomaly,negative
anonymous,neutral
another,neutral
anson,neutral
answer,neutral
answered,neutral
answering,neutral
answers,neutral
ant,neutral
antarctic,neutral
antarctica,neutral
antenna,neutral
antennae,neutral
antennas,neutral
anterior,neutral
anthem,neutral
anthologies,neutral
anthology,neutral
anthony,neutral
anthropological,neutral
anthropologist,neutral
anthropology,neutral
anti,neutral
antibiotics,neutral
antibodies,neutral
antibody,neutral
anticipated,neutral
anticipating,neutral
anticipation,neutral
antics,neutral
antigen,neutral
antigua,neutral
antilles,neutral
antioch,neutral
antique,neutral
antiques,neutral
antiquities,neutral
antiquity,neutral
antoine,neutral
antoinette,neutral
anton,neutral
antonia,neutral
antonio,neutral
antony,neutral
antrim,neutral
ants,neutral
antwerp,neutral
anwar,neutral
anxiety,negative
anxious,negative
anxiously,negative
any,neutral
anya,neutral
anybody,neutral
anymore,neutral
anyone,neutral
anything,neutral
anytime,neutral
anyway,neutral
anywhere,neutral
anzac,neutral
ao,neutral
ap,neutral
apache,neutral
apart,neutral
apartheid,neutral
apartment,neutral
apartments,neutral
ape,neutral
aperture,neutral
apes,neutral
apex,neutral
api,neutral
apical,neutral
apocalyptic,negative
apollo,neutral
apologetic,neutral
apologies,neutral
apologize,neutral
apologized,neutral
apology,neutral
apostle,neutral
apostles,neutral
apostolic,neutral
app,neutral
appalachian,neutral
appalled,negative
apparatus,neutral
apparel,neutral
apparent,neutral
apparently,neutral
appealed,neutral
appealing,positive
appeals,neutral
appear,neutral
appearance,neutral
appearances,neutral
appeared,neutral
appearing,neutral
appears,neutral
appellate,neutral
appendix,neutral
appetite,neutral
applause,neutral
apple,neutral
apples,neutral
appleton,neutral
appliances,neutral
applicable,neutral
applicant,neutral
applicants,neutral
application,neutral
applications,neutral
applied,neutral
applies,neutral
apply,neutral
applying,neutral
appoint,neutral
appointed,neutral
appointing,neutral
appointment,neutral
appointments,neutral
appreciated,positive
appreciation,neutral
apprentice,neutral
apprenticeship,neutral
approach,neutral
approached,neutral
approaches,neutral
approaching,neutral
appropriated,neutral
appropriately,neutral
appropriations,neutral
approval,positive
approved,neutral
approx,neutral
approximate,neutral
approximately,neutral
approximation,neutral
apps,neutral
apr,neutral
april,neutral
apron,neutral
apt,neutral
aqua,neutral
aquarium,neutral
aquatic,neutral
aquatics,neutral
aqueduct,neutral
aquino,neutral
aquitaine,neutral
ar,neutral
ara,neutral
arab,neutral
arabia,neutral
arabian,neutral
arabic,neutral
arabs,neutral
aragon,neutral
aramaic,neutral
arbitration,neutral
arbor,neutral
arboretum,neutral
arc,neutral
arcade,neutral
arcadia,neutral
arch,neutral
archaeological,neutral
archaeologist,neutral
archaeologists,neutral
archaeology,neutral
archangel,neutral
archbishop,neutral
archdeacon,neutral
archdiocese,neutral
archduke,neutral
arched,neutral
archeological,neutral
archer,neutral
archers,neutral
archery,neutral
arches,neutral
archibald,neutral
archie,neutral
arching,neutral
archipelago,neutral
architect,neutral
architects,neutral
architectural,neutral
architecture,neutral
archival,neutral
archive,neutral
archived,neutral
archives,neutral
archway,neutral
arcs,neutral
arctic,neutral
arden,neutral
ardent,positive
are,neutral
area,neutral
areas,neutral
aren,neutral
arena,neutral
arenas,neutral
ares,neutral
argent,neutral
argentina,neutral
argentine,neutral
arguably,neutral
argue,neutral
argued,neutral
argues,neutral
arguing,neutral
argument,neutral
arguments,neutral
argus,neutral
argyle,neutral
argyll,neutral
ari,neutral
aria,neutral
arias,neutral
arid,neutral
ariel,neutral
arise,neutral
arises,neutral
arising,neutral
aristocracy,neutral
aristocratic,neutral
aristotle,neutral
arithmetic,neutral
arizona,neutral
arjun,neutral
ark,neutral
arkansas,neutral
arlington,neutral
arm,neutral
armada,neutral
armagh,neutral
armament,neutral
armand,neutral
armando,neutral
armchair,neutral
armed,neutral
armenia,neutral
armenian,neutral
armenians,neutral
armies,neutral
armistice,neutral
armor,neutral
armored,neutral
armory,neutral
armour,neutral
armoured,neutral
arms,neutral
armstrong,neutral
army,neutral
arnold,neutral
aroma,neutral
aromatic,neutral
arose,neutral
around,neutral
arousal,neutral
aroused,neutral
arrange,neutral
arranged,neutral
arrangement,neutral
arrangements,neutral
arranger,neutral
arranging,neutral
array,neutral
arrays,neutral
arrest,neutral
arrested,neutral
arresting,neutral
arrests,neutral
arrival,neutral
arrivals,neutral
arrive,neutral
arrived,neutral
arrives,neutral
arriving,neutral
arrogance,negative
arrogant,negative
arrondissement,neutral
arrow,neutral
arrows,neutral
arroyo,neutral
ars,neutral
arsenal,neutral
arsenic,neutral
arson,neutral
art,neutral
arte,neutral
artefacts,neutral
artemis,neutral
arterial,neutral
arteries,neutral
artery,neutral
arthritis,neutral
arthur,neutral
article,neutral
articles,neutral
articulated,neutral
artifact,neutral
artifacts,neutral
artificial,neutral
artillery,neutral
artisans,neutral
artist,neutral
artistic,neutral
artists,neutral
arts,neutral
arturo,neutral
artwork,neutral
artworks,neutral
arun,neutral
arya,neutral
aryan,neutral
as,neutral
asa,neutral
asahi,neutral
asbestos,neutral
ascended,neutral
ascending,neutral
ascension,neutral
ascent,neutral
ascot,neutral
ascribed,neutral
asean,neutral
ash,neutral
asha,neutral
ashamed,negative
ashby,neutral
ashe,neutral
asher,neutral
ashes,neutral
ashford,neutral
ashland,neutral
ashley,neutral
ashok,neutral
ashore,neutral
ashton,neutral
asia,neutral
asian,neutral
asiatic,neutral
aside,neutral
ask,neutral
asked,neutral
asking,neutral
asks,neutral
asleep,neutral
aspect,neutral
aspects,neutral
aspen,neutral
asphalt,neutral
aspiring,neutral
ass,neutral
assam,neutral
assassinate,negative
assassinated,neutral
assassination,neutral
assassins,neutral
assault,negative
assaulted,neutral
assaults,neutral
assemble,neutral
assembled,neutral
assemblies,neutral
assembly,neutral
assent,neutral
assert,neutral
asserted,neutral
asserting,neutral
assertion,neutral
asserts,neutral
assess,neutral
assessed,neutral
assessing,neutral
assessment,neutral
assessments,neutral
asset,neutral
assets,neutral
asshole,neutral
assign,neutral
assigned,neutral
assignment,neutral
assignments,neutral
assigns,neutral
assimilation,neutral
assist,neutral
assistance,neutral
assistant,neutral
assistants,neutral
assisted,neutral
assisting,neutral
assists,neutral
associate,neutral
associated,neutral
associates,neutral
association,neutral
associations,neutral
assortment,neutral
assume,neutral
assumed,neutral
assumes,neutral
assuming,neutral
assumption,neutral
assumptions,neutral
assured,neutral
assyrian,neutral
asteroid,neutral
asteroids,neutral
asthma,neutral
aston,neutral
astonished,positive
astonishing,positive
astonishment,positive
astor,neutral
astoria,neutral
astrid,neutral
astro,neutral
astronaut,neutral
astronauts,neutral
astronomer,neutral
astronomers,neutral
astronomical,neutral
astronomy,neutral
astros,neutral
asturias,neutral
asylum,neutral
at,neutral
ata,neutral
atari,neutral
ate,neutral
atheist,neutral
athena,neutral
athenian,neutral
athens,neutral
athlete,neutral
athletes,neutral
athletic,neutral
athletics,neutral
atkins,neutral
atkinson,neutral
atlanta,neutral
atlantic,neutral
atlantis,neutral
atlas,neutral
atletico,neutral
atm,neutral
atmosphere,neutral
atmospheric,neutral
atoll,neutral
atom,neutral
atomic,neutral
atoms,neutral
atop,neutral
atp,neutral
atrium,neutral
atrocities,negative
attach,neutral
attache,neutral
attached,neutral
attachment,neutral
attack,negative
attacked,neutral
attacker,neutral
attackers,neutral
attacking,neutral
attacks,negative
attain,neutral
attained,neutral
attaining,neutral
attempt,neutral
attempted,neutral
attempting,neutral
attempts,neutral
attend,neutral
attendance,neutral
attendant,neutral
attendants,neutral
attended,neutral
attendees,neutral
attending,neutral
attends,neutral
attention,neutral
attested,neutral
attic,neutral
attire,neutral
attitude,neutral
attitudes,neutral
attorney,neutral
attorneys,neutral
attract,neutral
attracted,neutral
attracting,neutral
attraction,positive
attractions,neutral
attractive,positive
attracts,neutral
attribute,neutral
attributed,neutral
attributes,neutral
atv,neutral
au,neutral
aubrey,neutral
auburn,neutral
auckland,neutral
auction,neutral
audi,neutral
audience,neutral
audiences,neutral
audio,neutral
audit,neutral
audition,neutral
auditioned,neutral
auditions,neutral
auditor,neutral
auditorium,neutral
auditory,neutral
audrey,neutral
auf,neutral
aug,neutral
augmented,neutral
augsburg,neutral
august,neutral
augusta,neutral
auguste,neutral
augustine,neutral
augusto,neutral
augustus,neutral
aunt,neutral
aura,neutral
aurora,neutral
aus,neutral
auschwitz,neutral
auspices,neutral
austen,neutral
austin,neutral
australia,neutral
australian,neutral
australians,neutral
austria,neutral
austrian,neutral
austrians,neutral
austro,neutral
authentication,neutral
authenticity,neutral
author,neutral
authored,neutral
authorised,neutral
authorities,neutral
authority,neutral
authorization,neutral
authorized,neutral
authors,neutral
authorship,neutral
autism,neutral
auto,neutral
autobiographical,neutral
autobiography,neutral
automated,neutral
automatic,neutral
automatically,neutral
automation,neutral
automobile,neutral
automobiles,neutral
automotive,neutral
autonomy,neutral
autopsy,neutral
autumn,neutral
aux,neutral
auxiliary,neutral
av,neutral
ava,neutral
avail,neutral
availability,neutral
avalon,neutral
avant,neutral
avatar,neutral
ave,neutral
avenge,negative
avengers,neutral
avenue,neutral
avenues,neutral
average,neutral
averaged,neutral
averages,neutral
averaging,neutral
avery,neutral
aviation,neutral
aviator,neutral
avila,neutral
aviv,neutral
avoid,neutral
avoidance,neutral
avoided,neutral
avoiding,neutral
avoids,neutral
avon,neutral
aw,neutral
await,neutral
awaited,neutral
awaiting,neutral
awake,neutral
awakened,neutral
awakening,neutral
award,positive
awarded,positive
aware,neutral
awareness,neutral
away,neutral
awe,positive
awesome,positive
awful,negative
awhile,neutral
awkward,negative
awkwardly,neutral
awoke,neutral
axe,neutral
axel,neutral
axes,neutral
axial,neutral
axis,neutral
axle,neutral
aye,neutral
az,neutral
azerbaijan,neutral
azerbaijani,neutral
aziz,neutral
azores,neutral
aztec,neutral
azure,neutral
b,neutral
b1,neutral
ba,neutral
baba,neutral
babe,neutral
babies,neutral
babu,neutral
baby,neutral
babylon,neutral
babylonian,neutral
baccalaureate,neutral
bach,neutral
bachelor,neutral
back,neutral
backdrop,neutral
backed,neutral
background,neutral
backgrounds,neutral
backing,neutral
backlash,neutral
backpack,neutral
backs,neutral
backseat,neutral
backside,neutral
backstage,neutral
backstroke,neutral
backup,neutral
backward,negative
backwards,neutral
backyard,neutral
bacon,neutral
bacteria,neutral
bacterial,neutral
bacterium,neutral
bad,negative
baden,neutral
badge,neutral
badger,neutral
badges,neutral
badly,negative
badminton,neutral
bae,neutral
baffled,negative
bafta,neutral
bag,neutral
baggage,neutral
baghdad,neutral
bags,neutral
baha,neutral
bahadur,neutral
bahamas,neutral
bahia,neutral
bahn,neutral
bahrain,neutral
bai,neutral
bail,neutral
bailey,neutral
bain,neutral
baird,neutral
baja,neutral
baked,neutral
baker,neutral
bakery,neutral
baking,neutral
baku,neutral
bal,neutral
bala,neutral
balance,neutral
balancing,neutral
balcony,neutral
bald,neutral
baldwin,neutral
balfour,neutral
bali,neutral
balkan,neutral
balkans,neutral
ball,neutral
ballad,neutral
ballads,neutral
ballard,neutral
ballast,neutral
ballet,neutral
ballistic,neutral
balloon,neutral
balloons,neutral
ballot,neutral
ballots,neutral
ballroom,neutral
balls,neutral
balthazar,neutral
baltic,neutral
baltimore,neutral
bam,neutral
bamboo,neutral
ban,neutral
banana,neutral
bananas,neutral
banco,neutral
bancroft,neutral
band,neutral
banda,neutral
bandage,neutral
bandages,neutral
banded,neutral
bandit,neutral
bandits,neutral
bands,neutral
bandwidth,neutral
bang,neutral
bangalore,neutral
banged,neutral
banging,neutral
bangkok,neutral
bangladesh,neutral
bangladeshi,neutral
bangor,neutral
bangs,neutral
banished,neutral
banjo,neutral
bank,neutral
banker,neutral
bankers,neutral
banking,neutral
bankruptcy,neutral
banks,neutral
banned,neutral
banner,neutral
banners,neutral
banning,neutral
banquet,neutral
bao,neutral
baptised,neutral
baptism,neutral
baptist,neutral
baptiste,neutral
baptized,neutral
bar,neutral
barack,neutral
barak,neutral
barangay,neutral
barbados,neutral
barbara,neutral
barbarians,neutral
barbecue,neutral
barbed,neutral
barber,neutral
barbie,neutral
barcelona,neutral
barclay,neutral
bard,neutral
bare,neutral
bared,neutral
barefoot,neutral
barely,neutral
bargaining,neutral
barge,neutral
barges,neutral
bari,neutral
baritone,neutral
bark,neutral
barked,neutral
barker,neutral
barking,neutral
barley,neutral
barlow,neutral
barn,neutral
barnard,neutral
barnes,neutral
barnet,neutral
barnett,neutral
barney,neutral
barns,neutral
barnsley,neutral
baron,neutral
baroness,neutral
baronet,neutral
baronetcy,neutral
barons,neutral
barony,neutral
baroque,neutral
barr,neutral
barracks,neutral
barrage,neutral
barre,neutral
barred,neutral
barrel,neutral
barrels,neutral
barrett,neutral
barrie,neutral
barrier,neutral
barriers,neutral
barrington,neutral
barrio,neutral
barrister,neutral
barron,neutral
barrow,neutral
barry,neutral
bars,neutral
bart,neutral
bartender,neutral
bartholomew,neutral
bartlett,neutral
barton,neutral
bas,neutral
basal,neutral
basalt,neutral
base,neutral
baseball,neutral
based,neutral
basel,neutral
baseline,neutral
baseman,neutral
basement,neutral
bases,neutral
basha,neutral
basic,neutral
basically,neutral
basics,neutral
basil,neutral
basilica,neutral
basin,neutral
basins,neutral
basis,neutral
basket,neutral
basketball,neutral
baskets,neutral
basque,neutral
bass,neutral
bassett,neutral
bassist,neutral
bastard,negative
bastards,negative
bastion,neutral
bat,neutral
batavia,neutral
batch,neutral
bates,neutral
bath,neutral
bathed,neutral
bathing,neutral
bathroom,neutral
bathrooms,neutral
baths,neutral
bathurst,neutral
batman,neutral
baton,neutral
bats,neutral
batsman,neutral
battalion,neutral
battalions,neutral
batted,neutral
batter,neutral
battered,negative
batteries,neutral
battery,neutral
batting,neutral
battista,neutral
battle,neutral
battled,neutral
battlefield,neutral
battles,neutral
battleship,neutral
battleships,neutral
battling,neutral
bauer,neutral
bautista,neutral
bavaria,neutral
bavarian,neutral
baxter,neutral
bay,neutral
bayer,neutral
bayern,neutral
baylor,neutral
bayou,neutral
bays,neutral
bazaar,neutral
bb,neutral
bbc,neutral
bc,neutral
bce,neutral
be,neutral
bea,neutral
beach,neutral
beaches,neutral
beacon,neutral
beads,neutral
beak,neutral
beale,neutral
beam,neutral
beamed,neutral
beaming,neutral
beams,neutral
bean,neutral
beans,neutral
bear,neutral
beard,neutral
bearded,neutral
bearer,neutral
bearing,neutral
bearings,neutral
bears,neutral
beast,neutral
beasts,neutral
beat,neutral
beaten,neutral
beating,neutral
beatles,neutral
beatrice,neutral
beats,neutral
beatty,neutral
beau,neutral
beaufort,neutral
beaumont,neutral
beautiful,positive
beautifully,positive
beauty,positive
beaux,neutral
beaver,neutral
became,neutral
because,neutral
becca,neutral
beck,neutral
becker,neutral
beckett,neutral
becky,neutral
become,neutral
becomes,neutral
becoming,neutral
bed,neutral
bedford,neutral
bedfordshire,neutral
bedrock,neutral
bedroom,neutral
bedrooms,neutral
beds,neutral
bedside,neutral
bee,neutral
beech,neutral
beef,neutral
been,neutral
beer,neutral
beers,neutral
bees,neutral
beethoven,neutral
beetle,neutral
beetles,neutral
before,neutral
beforehand,neutral
befriended,neutral
began,neutral
begged,neutral
begging,negative
begin,neutral
beginning,neutral
beginnings,neutral
begins,neutral
begs,neutral
begun,neutral
behalf,neutral
behave,neutral
behaved,neutral
behavior,neutral
behavioral,neutral
behaviors,neutral
behaviour,neutral
beheaded,neutral
behind,neutral
behold,neutral
bei,neutral
beige,neutral
beijing,neutral
being,neutral
beings,neutral
beirut,neutral
beit,neutral
bel,neutral
